Step,Deviation,Deviation Feedback,Distance,Distance_Deriv,Runtime,Nb Line,Nb Points,Matching,Rudder,Throttle,Brakes
0,0.0,-0.0009009009255674055,17.0,0.0,41.96357727050781,3,45,0,0.03603603702269622,0.6000000000000001,0.0
1,0.0,-0.0009009009255674055,17.0,0.0,17.13705062866211,3,45,0,0.03603603702269622,0.6000000000000001,0.0
2,0.0,-0.0009009009255674055,17.0,0.0,20.86162567138672,3,45,0,0.03603603702269622,0.6000000000000001,0.0
3,0.0,-0.0009009009255674055,17.0,0.0,20.00117301940918,3,45,0,0.03603603702269622,0.6000000000000001,0.0
4,0.0,-0.0009009009255674055,17.0,0.0,18.00251007080078,3,45,0,0.03603603702269622,0.6000000000000001,0.0
5,0.0,-0.0009009009255674055,17.0,0.0,17.740249633789062,3,45,0,0.03603603702269622,0.6000000000000001,0.0
6,0.0,-0.0009009009255674055,17.0,0.0,16.11614227294922,3,45,0,0.03603603702269622,0.6000000000000001,0.0
7,0.0,-0.0009009009255674055,17.0,0.0,19.970178604125977,3,45,0,0.03603603702269622,0.6000000000000001,0.0
8,0.0,-0.0009009011187578684,17.0,0.0,17.79651641845703,3,45,0,0.03603604475031474,0.6000000000000001,0.0
9,0.0,-0.0009009011187578684,17.0,0.0,15.564680099487305,3,45,0,0.03603604475031474,0.6000000000000001,0.0
10,0.0,-0.0009009011187578684,17.0,0.0,18.779277801513672,3,50,0,0.03603604475031474,0.6000000000000001,0.0
11,0.0,-0.0009009011187578684,17.0,0.0,17.914533615112305,3,50,0,0.03603604475031474,0.6000000000000001,0.0
12,0.0,-0.0009009011187578684,17.0,0.0,20.013093948364258,3,50,0,0.03603604475031474,0.6000000000000001,0.0
13,0.0,-0.0009009011187578684,17.0,0.0,18.004417419433594,3,50,0,0.03603604475031474,0.6000000000000001,0.0
14,0.0,-0.0009009009255674055,17.0,0.0,18.218278884887695,3,45,0,0.03603603702269622,0.6000000000000001,0.0
15,0.0,-0.0009009009255674055,17.0,0.0,19.259214401245117,3,45,0,0.03603603702269622,0.6000000000000001,0.0
16,0.0,-0.000900911534530979,17.0,0.0,18.001317977905273,3,45,0,0.03603646138123916,0.6000000000000001,0.0
17,0.0,-0.0009009009255674055,17.0,0.0,18.31674575805664,3,45,0,0.03603603702269622,0.6000000000000001,0.0
18,0.0,-0.0009009009255674055,17.0,0.0,16.284704208374023,3,45,0,0.03603603702269622,0.6000000000000001,0.0
19,0.0,-0.0009009009255674055,17.0,0.0,19.359827041625977,3,45,0,0.03603603702269622,0.6000000000000001,0.0
20,0.0,-0.0009009009255674055,17.0,0.0,17.11750030517578,3,45,0,0.03603603702269622,0.6000000000000001,0.0
21,0.0,-0.0009009009255674055,17.0,0.0,17.76885986328125,3,45,0,0.03603603702269622,0.6000000000000001,0.0
22,0.0,-0.0009009009255674055,17.0,0.0,17.5628662109375,3,45,0,0.03603603702269622,0.6000000000000001,0.0
23,0.0,-0.0009009009255674055,17.0,0.0,16.08562469482422,3,45,0,0.03603603702269622,0.6000000000000001,0.0
24,0.0,-0.0009009009255674055,17.0,0.0,16.994714736938477,3,45,0,0.03603603702269622,0.6000000000000001,0.0
25,0.0,-0.0009009009255674055,17.0,0.0,19.11473274230957,3,45,0,0.03603603702269622,0.6000000000000001,0.0
26,0.0,-0.000900900903287692,17.0,0.0,17.884492874145508,3,45,0,0.03603603613150768,0.6000000000000001,0.0
27,0.0,-0.000900900903287692,17.0,0.0,19.013404846191406,3,45,0,0.03603603613150768,0.6000000000000001,0.0
28,0.0,-0.000900900903287692,17.0,0.0,18.999576568603516,3,45,0,0.03603603613150768,0.6000000000000001,0.0
29,0.0,-0.000900900903287692,17.0,0.0,16.98470115661621,3,45,0,0.03603603613150768,0.6000000000000001,0.0
30,0.0,-0.000900900903287692,17.0,0.0,17.00115203857422,3,45,0,0.03603603613150768,0.6000000000000001,0.0
31,0.0,-0.000900900903287692,17.0,0.0,17.633438110351562,3,45,0,0.03603603613150768,0.6000000000000001,0.0
32,0.0,-0.000900900903287692,17.0,0.0,17.004966735839844,3,45,0,0.03603603613150768,0.6000000000000001,0.0
33,0.0,-0.000900900903287692,17.0,0.0,17.4560546875,3,45,0,0.03603603613150768,0.6000000000000001,0.0
34,0.0,-0.000900900903287692,17.0,0.0,16.750812530517578,3,45,0,0.03603603613150768,0.6000000000000001,0.0
35,0.0,-0.000900900903287692,17.0,0.0,17.849445343017578,3,45,0,0.03603603613150768,0.6000000000000001,0.0
36,0.0,-0.000900900903287692,17.0,0.0,16.106843948364258,3,45,0,0.03603603613150768,0.6000000000000001,0.0
37,0.0,-0.000900900903287692,17.0,0.0,17.023801803588867,3,45,0,0.03603603613150768,0.6000000000000001,0.0
38,0.0,-0.000900900903287692,17.0,0.0,17.732620239257812,3,45,0,0.03603603613150768,0.6000000000000001,0.0
39,0.0,-0.000900900903287692,17.0,0.0,15.432119369506836,3,45,0,0.03603603613150768,0.6000000000000001,0.0
40,0.0,-0.000900900903287692,17.0,0.0,17.339229583740234,3,45,0,0.03603603613150768,0.6000000000000001,0.0
41,0.0,-0.000900900903287692,17.0,0.0,17.105817794799805,3,45,0,0.03603603613150768,0.6000000000000001,0.0
42,0.0,-0.000900900903287692,17.0,0.0,16.287803649902344,3,45,0,0.03603603613150768,0.6000000000000001,0.0
43,0.0,-0.000900900903287692,17.0,0.0,18.05424690246582,3,45,0,0.03603603613150768,0.6000000000000001,0.0
44,0.0,-0.000900900903287692,17.0,0.0,17.989635467529297,3,45,0,0.03603603613150768,0.6000000000000001,0.0
45,0.0,-0.000900900903287692,17.0,0.0,19.999980926513672,3,50,0,0.03603603613150768,0.6000000000000001,0.0
46,0.0,-0.000900900903287692,17.0,0.0,16.99972152709961,3,50,0,0.03603603613150768,0.6000000000000001,0.0
47,0.0,-0.000900900903287692,17.0,0.0,16.25800132751465,3,50,0,0.03603603613150768,0.6000000000000001,0.0
48,0.0,-0.000900900903287692,17.0,0.0,17.62843132019043,3,50,0,0.03603603613150768,0.6000000000000001,0.0
49,0.0,-0.000900900903287692,17.0,0.0,16.75271987915039,3,50,0,0.03603603613150768,0.6000000000000001,0.0
